custid,dropperc,mins,consecmonths,income,churn_Y
931354,0.00896860986547085,446,22,57.0,0
225731,0.0273972602739726,438,19,65.3,0
529805,0.0166666666666667,660,30,94.4,0
389543,0.0130505709624796,613,23,69.7,0
681631,0.0223325062034739,403,26,64.5,0
38282,0.0167714884696017,477,35,50.8,0
755553,0.0185810810810811,592,42,95.7,0
217272,0.0202205882352941,544,36,75.0,0
883925,0.0290556900726392,413,24,93.4,0
686299,0.018348623853211003,436,11,64.0,0
239143,0.0157068062827225,573,40,65.6,0
845228,0.015695067264574,446,41,42.1,0
38606,0.0210325047801147,523,35,94.2,0
251767,0.0138888888888889,504,35,58.2,0
402421,0.0416666666666667,264,31,86.1,1
366585,0.0195227765726681,461,10,74.1,0
750705,0.025462962962963,432,30,77.7,0
205278,0.0199115044247788,452,23,59.9,0
980934,0.0180327868852459,610,24,70.4,0
350004,0.0188034188034188,585,28,89.2,0
752743,0.0143626570915619,557,23,52.9,0
35331,0.0138888888888889,504,21,71.0,0
847461,0.0254237288135593,472,14,61.0,0
312852,0.0404984423676012,321,18,89.8,0
115036,0.0223048327137546,538,37,74.6,0
324186,0.0122448979591837,490,24,52.6,0
508568,0.026431718061674,454,37,71.5,0
561259,0.0190839694656489,524,35,81.3,0
507662,0.0241635687732342,538,18,81.2,0
367914,0.0206896551724138,435,14,46.0,0
882062,0.016366612111293,611,22,43.5,0
361748,0.0119047619047619,588,41,67.4,0
791383,0.0230769230769231,520,27,90.8,1
359442,0.0298507462686567,402,25,84.4,1
117110,0.0175879396984925,398,19,70.3,0
581468,0.0146252285191956,547,43,83.9,0
519609,0.0146443514644351,478,16,35.8,0
399473,0.0148809523809524,672,21,51.7,0
456826,0.020703933747412,483,31,69.1,0
899093,0.0188034188034188,585,31,56.5,0
433140,0.028169014084507005,355,28,32.6,0
981797,0.0072202166064982,554,19,47.5,0
835501,0.0153846153846154,585,24,82.3,0
602693,0.0162454873646209,554,20,97.4,0
161441,0.0165745856353591,543,31,61.3,0
471419,0.0211946050096339,519,28,77.4,0
929943,0.0134099616858238,522,31,65.0,0
901118,0.0153550863723608,521,33,62.2,0
764298,0.0349794238683128,486,20,70.3,0
511811,0.0321543408360129,311,20,53.9,0
724567,0.0231362467866324,389,38,19.9,0
799449,0.0174672489082969,458,20,120.8,0
584669,0.0191204588910134,523,16,77.0,0
360776,0.009508716323296359,631,23,85.4,0
178666,0.0196078431372549,459,29,52.0,0
511446,0.0157303370786517,445,25,61.3,0
515896,0.0177619893428064,563,38,67.4,0
264697,0.0189035916824197,529,37,98.9,0
546494,0.0149625935162095,401,29,82.4,0
390435,0.0195694716242661,511,28,85.8,0
318302,0.0230414746543779,434,28,67.0,0
479708,0.0197530864197531,405,23,82.2,0
664327,0.0284463894967177,457,14,27.9,0
931368,0.0281995661605206,461,20,76.2,0
682173,0.0199637023593466,551,20,71.8,0
158093,0.013136288998358,609,30,84.7,0
456640,0.0218978102189781,411,26,51.1,0
947814,0.0364077669902913,412,20,60.3,0
154975,0.0250569476082005,439,34,64.6,0
358631,0.0125,640,15,58.9,0
875885,0.0198511166253102,403,9,38.9,0
552977,0.01620029455081,679,31,69.1,0
326748,0.0415512465373961,361,28,87.1,1
77488,0.0161550888529887,619,38,90.4,0
208037,0.0182232346241458,439,22,71.6,0
814420,0.0274599542334096,437,27,40.3,0
212486,0.0194931773879142,513,14,62.1,0
922628,0.014827018121911,607,17,65.1,0
586472,0.019438444924406,463,35,53.7,0
473475,0.0332225913621262,301,25,67.6,0
324314,0.018000000000000002,500,27,66.0,0
840797,0.026378896882494,417,37,61.7,0
560152,0.0155210643015521,451,19,110.8,0
949534,0.0188034188034188,585,35,55.2,0
651029,0.02734375,512,29,71.8,1
137903,0.009273570324574959,647,22,78.0,0
170165,0.0280373831775701,428,32,66.5,0
311673,0.0196078431372549,510,23,61.9,0
661201,0.00509337860780985,589,28,71.8,0
205145,0.0213464696223317,609,26,100.6,1
974346,0.0287081339712919,418,28,85.5,0
216121,0.0121527777777778,576,20,74.3,0
630076,0.0214424951267057,513,34,114.8,0
151932,0.0316622691292876,379,23,41.7,0
303176,0.0285087719298246,456,36,70.7,1
887524,0.0132547864506627,679,24,85.0,0
794130,0.0156918687589158,701,23,75.0,0
945727,0.032520325203252,369,24,62.8,0
656323,0.0164744645799012,607,21,66.0,0
41051,0.01417004048583,494,29,62.5,0
142181,0.0199667221297837,601,28,57.3,0
890763,0.0155367231638418,708,23,85.7,0
808458,0.0143112701252236,559,31,91.5,0
968705,0.0225806451612903,620,24,66.3,0
723232,0.0185185185185185,540,30,55.9,0
616673,0.0165441176470588,544,24,31.2,0
13083,0.0240700218818381,457,18,88.1,0
434742,0.0244399185336049,491,39,56.8,0
672745,0.0188034188034188,585,36,83.5,0
180048,0.0134907251264755,593,31,58.0,0
345204,0.0153061224489796,588,18,83.6,0
967781,0.0250481695568401,519,8,70.7,0
195804,0.0160427807486631,374,25,40.7,0
787418,0.0189075630252101,476,23,94.2,0
841507,0.0200445434298441,449,28,75.7,0
160030,0.0240740740740741,540,30,53.9,0
274975,0.0207006369426752,628,28,83.6,0
443079,0.0231362467866324,389,42,62.0,0
990478,0.0169491525423729,472,21,75.1,0
631844,0.0156521739130435,575,30,55.9,0
442625,0.0240963855421687,415,35,53.5,0
668487,0.0203327171903882,541,29,57.7,0
546798,0.0159680638722555,501,38,90.0,0
301843,0.0242290748898678,454,19,54.4,0
887693,0.0139165009940358,503,28,85.2,0
584597,0.0174216027874564,574,6,58.0,0
686480,0.0153846153846154,520,31,39.4,0
961050,0.0201612903225806,496,38,54.6,0
105404,0.0173745173745174,518,30,73.9,0
484464,0.0201342281879195,447,28,63.2,0
578969,0.0164319248826291,426,27,80.6,0
401246,0.0077922077922077905,385,23,62.4,0
894866,0.0183333333333333,600,22,73.6,0
325548,0.0124555160142349,562,29,56.2,0
431868,0.0205371248025276,633,28,50.2,0
862028,0.0132013201320132,606,31,86.5,0
466010,0.0354838709677419,310,34,55.5,0
692512,0.0318906605922551,439,18,63.2,0
796539,0.0196850393700787,508,33,83.8,0
459404,0.0267639902676399,411,21,68.8,0
58525,0.0142566191446029,491,30,96.5,0
586905,0.0192307692307692,520,25,58.1,0
597819,0.0238726790450928,377,38,41.9,0
854173,0.0169491525423729,590,38,51.9,0
888881,0.0238663484486874,419,18,93.9,0
577988,0.0206766917293233,532,43,55.6,0
632587,0.0112179487179487,624,26,95.4,0
584788,0.0073260073260073295,546,24,61.9,0
910747,0.0196936542669584,457,11,85.9,0
676132,0.0251889168765743,397,22,106.3,0
62249,0.0366666666666667,300,27,68.7,0
387770,0.0242424242424242,495,21,20.0,0
483923,0.0292207792207792,308,26,59.7,0
808483,0.0220385674931129,363,18,79.0,0
506630,0.0246305418719212,406,28,61.8,0
142550,0.011965811965812,585,33,57.4,0
215753,0.0204841713221601,537,34,105.2,0
335189,0.0140350877192982,570,40,87.9,0
361700,0.0147299509001637,611,36,71.6,0
872987,0.0238532110091743,545,32,78.4,0
187570,0.0273684210526316,475,18,39.1,0
704872,0.0252873563218391,435,38,69.4,0
950793,0.0181086519114688,497,18,47.2,0
909147,0.0139275766016713,718,36,59.6,0
892814,0.0125223613595707,559,28,84.0,0
105677,0.0169811320754717,530,35,50.8,0
467235,0.023094688221709,433,35,46.1,0
715291,0.0198300283286119,353,36,77.8,0
871712,0.0232558139534884,473,26,60.7,0
278,0.031700288184438,347,26,82.9,0
125848,0.0130151843817787,461,23,85.8,0
628364,0.0176848874598071,622,15,55.6,0
115873,0.0229276895943563,567,34,46.4,0
166766,0.0225563909774436,665,35,90.5,0
836964,0.0170940170940171,585,34,41.7,0
385653,0.0122511485451761,653,24,72.9,0
266389,0.0138888888888889,648,19,80.6,0
594223,0.0161812297734628,618,34,82.8,0
973714,0.0204081632653061,441,12,76.6,0
523178,0.027431421446384,401,29,40.1,0
752209,0.0285087719298246,456,36,85.3,1
981090,0.0205949656750572,437,44,76.9,0
930285,0.0136798905608755,731,31,62.8,0
240778,0.013953488372093002,430,35,44.8,0
242717,0.0145867098865478,617,28,86.6,0
104311,0.016260162601626,492,33,62.0,0
675470,0.0235294117647059,510,22,124.4,0
873006,0.0271844660194175,515,27,80.2,0
718124,0.0282051282051282,390,29,92.6,0
15877,0.0156794425087108,574,29,50.1,0
826132,0.0198412698412698,504,26,77.0,0
406769,0.0160183066361556,437,1,59.0,0
860881,0.0237388724035608,337,22,87.9,0
951016,0.0101522842639594,591,33,77.8,0
966092,0.0210772833723653,427,22,72.2,0
836841,0.0175131348511384,571,31,78.0,0
605059,0.0127931769722814,469,27,75.3,0
175115,0.0221238938053097,452,31,70.8,0
508494,0.0132075471698113,530,39,47.2,0
607562,0.0248306997742664,443,42,75.4,0
639466,0.0199203187250996,502,37,78.0,0
880605,0.0262172284644195,267,20,73.9,0
731870,0.0318021201413428,283,30,64.3,0
373069,0.0209643605870021,477,21,85.3,0
539395,0.0202578268876611,543,42,71.3,0
830033,0.0183823529411765,544,20,53.7,0
148999,0.012396694214876,484,32,72.3,0
599116,0.0186567164179104,536,34,56.6,0
845325,0.0163934426229508,549,36,126.9,0
661530,0.0169230769230769,650,19,56.4,0
801124,0.0296495956873315,371,24,106.2,0
165761,0.0303030303030303,462,26,61.9,1
772643,0.0238095238095238,462,46,86.4,0
922963,0.0149892933618844,467,25,46.4,0
596228,0.0202839756592292,493,24,77.0,0
946759,0.0232142857142857,560,26,49.3,0
607228,0.018000000000000002,500,42,44.2,0
697662,0.0170777988614801,527,17,64.4,0
579262,0.052863436123348,227,28,49.8,1
821895,0.0168453292496172,653,26,100.3,0
45560,0.0457746478873239,284,29,68.5,1
282091,0.0206185567010309,485,36,94.4,0
545592,0.0168634064080944,593,24,99.8,0
568698,0.0113452188006483,617,39,51.4,0
986317,0.0184049079754601,489,18,29.3,0
142027,0.0130505709624796,613,17,65.3,0
620933,0.0275229357798165,327,27,60.8,0
830792,0.0117845117845118,594,30,94.2,0
347421,0.021551724137931,464,28,50.2,0
947222,0.0194690265486726,565,29,38.0,0
12005,0.0160714285714286,560,23,65.2,0
864756,0.0233812949640288,556,24,66.8,0
793492,0.0200573065902579,349,23,96.5,0
524921,0.0177304964539007,564,37,84.1,0
565582,0.0267489711934156,486,23,94.2,0
586443,0.0305164319248826,426,28,56.9,1
79189,0.0128205128205128,390,25,76.3,0
718540,0.0141843971631206,423,36,55.0,0
396630,0.0157819225251076,697,39,58.1,0
939943,0.0170278637770898,646,27,60.8,0
993189,0.0170132325141777,529,17,57.9,0
756181,0.0232067510548523,474,24,46.7,0
794903,0.0200892857142857,448,28,76.2,0
191185,0.0347593582887701,374,19,91.1,0
637665,0.0199637023593466,551,21,32.2,0
147541,0.0246575342465753,365,26,106.6,0
523717,0.020997375328084,381,25,55.5,0
128234,0.0199203187250996,502,23,61.2,0
303500,0.0109034267912773,642,28,3.9,0
649503,0.0163132137030995,613,24,67.1,0
660753,0.0138888888888889,576,22,67.4,0
389885,0.0386904761904762,336,25,73.4,1
721657,0.0203045685279188,394,17,64.5,0
243749,0.0184210526315789,380,31,64.8,0
568580,0.013953488372093002,645,24,73.7,0
825412,0.0188976377952756,635,15,44.1,0
929604,0.0118811881188119,505,40,96.2,0
935961,0.00904977375565611,663,30,59.4,0
800600,0.0251889168765743,397,27,80.4,0
714419,0.0197368421052632,456,24,125.6,0
131555,0.0225409836065574,488,23,58.3,0
522940,0.0215827338129496,417,16,79.7,0
681922,0.0227272727272727,440,30,74.6,0
45734,0.0277777777777778,324,33,84.6,0
654390,0.015625,384,33,103.7,0
700981,0.0305882352941176,425,34,40.6,1
435161,0.0233545647558386,471,19,75.1,0
722798,0.0509803921568627,255,18,73.0,0
741194,0.0274599542334096,437,24,54.1,1
241857,0.0234986945169713,383,26,62.7,0
691507,0.0121317157712305,577,31,65.6,0
433476,0.0159680638722555,501,23,58.8,0
622636,0.0306122448979592,294,29,46.3,0
390638,0.0158730158730159,504,21,101.8,0
219700,0.0163204747774481,674,21,45.0,0
174588,0.0255591054313099,313,38,82.3,0
168027,0.0171428571428571,525,29,86.6,0
414298,0.0161290322580645,558,23,55.6,0
374990,0.0227272727272727,440,37,76.0,0
290662,0.0198237885462555,454,17,71.5,0
340562,0.026,500,19,62.9,0
352544,0.0176600441501104,453,25,40.2,0
55128,0.0272108843537415,441,35,58.7,0
212056,0.0153508771929825,456,21,104.9,0
920578,0.0191637630662021,574,22,101.6,0
404623,0.0210280373831776,428,32,114.4,0
923356,0.0215264187866928,511,16,50.3,0
72906,0.0235294117647059,340,15,48.6,0
936983,0.0172043010752688,465,25,76.4,0
730978,0.026578073089701,301,24,98.2,0
876923,0.0160142348754448,562,41,59.5,0
953250,0.0151843817787419,461,21,55.1,0
399018,0.0265060240963855,415,28,52.6,0
688576,0.0235081374321881,553,24,46.9,0
168069,0.0267686424474187,523,24,63.7,0
961977,0.0267489711934156,486,17,77.1,0
916740,0.0213219616204691,469,31,64.1,0
476175,0.0219298245614035,456,26,58.4,0
682289,0.0203665987780041,491,18,77.0,0
687457,0.0212314225053079,471,18,9.9,0
597477,0.0182555780933063,493,34,86.8,0
646617,0.0147255689424364,747,15,52.1,0
108949,0.0111111111111111,630,18,80.2,0
134686,0.0310077519379845,258,31,77.3,0
418357,0.0167464114832536,418,14,103.8,0
757284,0.0197841726618705,556,20,103.7,0
392050,0.0237226277372263,548,31,58.5,0
269076,0.0133037694013304,451,19,34.7,0
408855,0.0211538461538462,520,19,72.9,0
269669,0.0128755364806867,466,32,45.3,0
380061,0.0204081632653061,441,18,67.1,0
506141,0.0316622691292876,379,45,45.3,0
787240,0.0108892921960073,551,47,116.8,0
83459,0.0132743362831858,678,25,77.9,0
242367,0.0223123732251521,493,31,70.3,0
815874,0.0192023633677991,677,27,57.2,0
340426,0.0175718849840256,626,40,68.4,0
262437,0.0163934426229508,610,20,65.1,0
685432,0.00569259962049336,527,35,84.7,0
340051,0.0227272727272727,352,39,65.1,0
280916,0.0203160270880361,443,42,75.1,1
846584,0.0129151291512915,542,41,61.2,0
219931,0.007117437722419929,562,36,78.5,0
537728,0.0162162162162162,555,22,28.8,0
917972,0.0187617260787993,533,31,93.4,0
518069,0.0213333333333333,375,35,43.1,0
180169,0.0261044176706827,498,21,53.9,0
703961,0.0128617363344051,622,21,63.7,0
818635,0.0182815356489945,547,20,80.7,0
762604,0.0273348519362187,439,21,47.7,0
258016,0.0203160270880361,443,31,78.1,0
635750,0.0281124497991968,498,9,71.4,0
408596,0.0202205882352941,544,19,95.1,0
596271,0.0188679245283019,530,9,60.0,0
593441,0.0375,400,30,63.0,1
42823,0.0216919739696312,461,26,71.6,0
495614,0.0176767676767677,396,34,65.8,0
819538,0.017741935483871003,620,20,62.0,0
718654,0.0291479820627803,446,14,81.5,0
47569,0.0182724252491694,602,23,78.7,0
472238,0.0140597539543058,569,29,73.8,0
349391,0.0225303292894281,577,13,63.4,0
259171,0.0168067226890756,476,37,84.8,0
593310,0.0116788321167883,685,23,108.6,0
799048,0.0109546165884194,639,24,60.7,0
466918,0.0285714285714286,455,25,73.7,0
544275,0.0266990291262136,412,20,60.4,0
566631,0.0300230946882217,433,29,51.5,0
341131,0.0168918918918919,592,23,86.3,0
955161,0.0207900207900208,481,36,68.7,0
857076,0.0152963671128107,523,30,74.8,0
41543,0.025706940874036,389,39,82.0,0
838603,0.0207939508506616,529,33,98.2,0
259227,0.0223577235772358,492,13,64.2,0
665978,0.0155440414507772,579,33,42.4,0
595203,0.0272479564032698,367,36,94.3,0
410915,0.0264765784114053,491,14,32.3,0
96875,0.0208333333333333,528,28,59.2,0
242130,0.0198675496688742,453,30,65.6,0
666047,0.0186915887850467,428,19,56.5,0
269315,0.0123022847100176,569,34,97.0,0
581453,0.0108527131782946,645,33,65.7,0
117922,0.0235294117647059,425,24,73.0,0
466402,0.0183767228177642,653,22,82.8,0
873977,0.0230607966457023,477,28,91.9,0
704060,0.0173310225303293,577,39,71.7,0
245135,0.0163934426229508,610,26,68.4,0
531756,0.0234505862646566,597,32,93.5,0
520084,0.0174216027874564,574,28,76.0,0
759369,0.0154559505409583,647,25,57.0,0
606559,0.0149532710280374,535,31,72.1,0
996227,0.0191204588910134,523,29,80.7,0
611283,0.0238095238095238,336,25,68.8,0
726413,0.0213270142180095,422,24,45.7,0
364145,0.027972027972028,429,28,83.9,0
584008,0.0172413793103448,696,34,37.9,0
241588,0.0194902548725637,667,27,63.5,0
646784,0.0277078085642317,397,30,37.4,0
211752,0.0135363790186125,591,27,59.7,0
131413,0.0178217821782178,505,22,60.5,0
91721,0.0132575757575758,528,13,37.7,0
147116,0.025,400,28,74.7,0
796573,0.0297297297297297,370,32,74.0,0
87326,0.014367816091954,348,29,96.1,0
454040,0.0176991150442478,565,36,45.7,0
447669,0.0184899845916795,649,19,76.4,0
432847,0.020997375328084,381,25,72.4,0
963124,0.0137524557956778,509,25,69.2,0
69357,0.0161030595813204,621,39,86.5,0
109084,0.0176848874598071,622,22,103.6,0
786959,0.0253411306042885,513,25,67.6,0
689060,0.0287769784172662,417,44,57.1,0
57029,0.0129682997118156,694,27,84.0,0
32788,0.0155339805825243,515,21,116.5,0
352488,0.0225409836065574,488,36,24.5,0
31342,0.020952380952381,525,27,74.1,0
528585,0.008665511265164641,577,44,70.7,0
1116,0.0194805194805195,616,12,70.5,0
192994,0.0188679245283019,424,23,34.3,0
23545,0.0318627450980392,408,27,61.1,0
950668,0.0159045725646123,503,31,101.3,0
148972,0.018018018018018004,555,20,66.9,0
755093,0.0277777777777778,396,22,73.5,0
789550,0.0251889168765743,397,20,24.8,0
575874,0.0153631284916201,716,32,95.3,0
98495,0.0220264317180617,454,21,70.6,0
843617,0.0202020202020202,495,17,58.6,0
201923,0.0103397341211226,677,11,82.4,0
940978,0.0164533820840951,547,23,87.7,0
105966,0.0993377483443709,151,27,84.0,1
794827,0.0191387559808612,418,29,84.3,0
770272,0.0174050632911392,632,22,98.6,0
558762,0.0220994475138122,543,26,34.6,0
219084,0.0239043824701195,502,30,105.8,1
890412,0.0187265917602996,534,28,43.9,0
862172,0.0178926441351889,503,19,61.0,0
222709,0.0232558139534884,430,16,66.3,0
376537,0.0191082802547771,471,23,87.9,0
446163,0.0262008733624454,458,33,52.6,0
278506,0.0250481695568401,519,32,112.5,0
410873,0.0182926829268293,492,23,104.1,0
97038,0.0146252285191956,547,21,78.5,0
107684,0.0175,400,34,73.4,0
248827,0.020442930153322,587,32,55.8,0
654243,0.0146818923327896,613,34,63.1,0
686390,0.0200803212851406,498,15,61.4,0
325125,0.0135593220338983,590,13,59.8,0
144646,0.0289532293986637,449,31,65.6,0
307124,0.0153321976149915,587,32,85.5,0
779493,0.0172413793103448,464,28,85.5,0
500551,0.0164233576642336,548,52,66.3,0
569316,0.0315186246418338,349,18,37.1,0
481638,0.0224719101123595,534,33,98.8,0
123403,0.0189328743545611,581,20,84.7,0
164588,0.0211946050096339,519,19,98.8,0
490128,0.0204460966542751,538,30,58.8,0
823928,0.0163398692810458,612,26,61.9,0
357901,0.0238095238095238,378,30,53.6,0
894401,0.0197869101978691,657,28,43.1,0
746820,0.040625,320,20,78.3,0
819576,0.0204081632653061,539,38,55.6,0
982129,0.0185185185185185,540,17,61.5,0
162683,0.011986301369863,584,30,49.7,0
580552,0.00807754442649435,619,20,77.3,0
175214,0.0132325141776938,529,29,76.0,0
830095,0.00572246065808298,699,24,58.4,0
914041,0.0165876777251185,422,31,65.4,0
123988,0.0170777988614801,527,29,39.3,0
671193,0.0217864923747277,459,28,39.9,0
47860,0.0122137404580153,655,7,76.1,0
911767,0.009009009009009007,777,29,46.0,0
330153,0.0190114068441065,526,27,56.1,0
243707,0.0160642570281124,498,24,56.4,0
423828,0.0215946843853821,602,39,55.3,0
992483,0.0288461538461538,312,26,109.7,0
517654,0.0189393939393939,528,25,72.5,0
554874,0.0294117647058824,340,26,78.4,0
862153,0.0206422018348624,436,19,94.4,0
206225,0.0115894039735099,604,29,68.8,0
519012,0.0245700245700246,407,29,77.7,0
654821,0.0207900207900208,481,26,80.2,0
674242,0.0263157894736842,456,24,54.9,0
28803,0.0147679324894515,474,21,77.6,0
317633,0.0154639175257732,582,34,50.2,0
960943,0.0138888888888889,648,13,60.5,0
214043,0.019047619047619,525,37,91.7,0
813846,0.0158415841584158,505,18,79.1,0
919811,0.0183150183150183,546,32,54.3,0
219026,0.0117878192534381,509,37,79.2,0
790015,0.0226537216828479,309,39,43.2,0
671831,0.0183028286189684,601,30,39.4,0
915341,0.027355623100304004,329,27,70.0,0
360483,0.0171232876712329,584,42,94.5,1
418932,0.0241545893719807,414,22,95.9,0
773852,0.0097629009762901,717,27,76.9,0
437478,0.0186757215619694,589,22,80.5,0
451767,0.0136570561456753,659,24,77.4,0
708334,0.018796992481203,532,24,96.3,0
613624,0.014018691588784998,428,48,56.9,0
951690,0.0198412698412698,504,28,69.8,0
736421,0.0186666666666667,375,9,46.8,0
202695,0.0141570141570142,777,37,15.0,0
879113,0.017725258493353,677,37,34.4,0
915474,0.0232558139534884,387,19,58.0,0
279702,0.018450184501845,542,26,82.1,0
764767,0.0197132616487455,558,24,71.1,0
51178,0.0297029702970297,303,41,104.6,0
545725,0.0151843817787419,461,38,91.9,0
240826,0.0303867403314917,362,26,77.1,0
657132,0.0268006700167504,597,8,87.3,0
364969,0.0214669051878354,559,21,74.7,0
517997,0.0160142348754448,562,40,80.9,0
271774,0.0199004975124378,402,15,68.5,0
701869,0.0112994350282486,531,42,114.6,0
8887,0.0249376558603491,401,43,62.1,0
72326,0.0184757505773672,433,32,61.0,0
933525,0.00854700854700855,585,29,45.9,0
664921,0.02,500,36,74.7,0
825198,0.033033033033033,333,27,48.0,0
230420,0.020997375328084,381,30,58.4,0
495315,0.0144628099173554,484,18,68.1,0
87458,0.0166112956810631,602,21,58.2,0
668053,0.0232558139534884,473,7,81.2,0
566900,0.0121580547112462,658,22,79.3,0
347465,0.0342105263157895,380,43,83.2,0
178837,0.0200501253132832,399,34,87.4,0
197976,0.027027027027027,481,39,64.5,0
110454,0.0120068610634648,583,40,79.0,0
75554,0.0293333333333333,375,21,83.9,0
383712,0.0159574468085106,564,44,73.5,0
474935,0.0202702702702703,444,31,109.9,0
779590,0.021505376344086,465,34,42.2,0
491622,0.0210772833723653,427,20,69.6,0
88381,0.0200803212851406,498,17,83.5,0
16216,0.0332541567695962,421,26,101.5,1
200635,0.0299145299145299,468,42,67.7,1
45606,0.023094688221709,433,28,33.0,0
718659,0.0130434782608696,690,17,46.1,0
344417,0.0196936542669584,457,21,74.8,0
677026,0.018000000000000002,500,27,76.1,0
935712,0.0218579234972678,549,20,121.9,0
263178,0.0152380952380952,525,26,48.2,0
404978,0.0217391304347826,506,20,59.1,0
270052,0.0101596516690856,689,28,40.6,0
99670,0.0161550888529887,619,37,96.4,0
15012,0.0224719101123595,445,31,84.9,0
931012,0.0134952766531714,741,11,82.5,0
505680,0.0178282009724473,617,25,50.3,0
249202,0.0304182509505703,263,40,71.3,0
913199,0.0262582056892779,457,32,86.4,0
286124,0.0203252032520325,492,36,85.3,0
353372,0.0215686274509804,510,34,70.0,0
725694,0.0165441176470588,544,7,70.5,0
120653,0.0165631469979296,483,45,53.9,0
656029,0.0272536687631027,477,26,76.4,1
47339,0.0227272727272727,440,25,63.5,0
845756,0.0146750524109015,477,7,67.8,0
953549,0.0263157894736842,418,36,99.3,0
968746,0.0186125211505922,591,26,79.4,0
921524,0.023598820058997005,339,22,73.8,0
842918,0.0126103404791929,793,21,77.4,0
554292,0.0136518771331058,586,28,69.2,0
487049,0.0240549828178694,582,21,38.7,0
391159,0.0199600798403194,501,26,58.6,0
455129,0.033112582781457005,302,33,49.9,0
269170,0.0109409190371991,457,19,33.0,0
27082,0.013953488372093002,645,34,55.3,0
600368,0.0223214285714286,224,10,67.5,0
177628,0.016597510373443997,482,31,58.6,0
414013,0.0198347107438017,605,28,73.0,0
25676,0.018018018018018004,444,17,63.2,0
951055,0.0141987829614604,493,27,68.7,0
165669,0.0181451612903226,496,44,80.4,0
711188,0.0176,625,23,48.6,0
263234,0.0190023752969121,421,29,67.5,0
220784,0.0302197802197802,364,28,41.7,0
282424,0.020253164556962,395,21,52.6,0
611599,0.029126213592233,412,28,43.5,0
44871,0.0157657657657658,444,21,112.6,0
519212,0.0307017543859649,456,14,50.3,0
407965,0.0159817351598174,438,43,76.4,0
59587,0.0196936542669584,457,25,65.8,0
171185,0.0242424242424242,330,34,90.6,0
232794,0.0184842883548983,541,30,104.1,0
358879,0.0227703984819734,527,11,51.5,0
873391,0.0164233576642336,548,33,48.4,0
